Time, Quadrant Number, Ball Colour, Type
0.03, 2, blue, Exit
0.03, 4, blue, Entry
0.03, 1, red, Exit
0.03, 3, red, Entry
0.10, 3, red, Exit
0.10, 4, red, Entry
0.13, 4, red, Exit
0.13, 3, red, Entry
0.17, 3, red, Exit
0.17, 2, red, Entry
0.20, 2, red, Exit
0.20, 3, red, Entry
0.33, 3, red, Exit
0.33, 2, red, Entry
0.40, 2, red, Exit
0.40, 3, red, Entry
0.53, 3, red, Exit
0.53, 2, red, Entry
0.57, 2, red, Exit
0.57, 3, red, Entry
0.70, 3, red, Exit
0.70, 2, red, Entry
0.73, 2, red, Exit
0.73, 3, red, Entry
0.93, 3, red, Exit
0.93, 1, red, Entry
1.00, 1, red, Exit
1.00, 3, red, Entry
1.16, 3, red, Exit
1.16, 4, red, Entry
1.20, 4, red, Exit
1.20, 3, red, Entry
1.23, 3, red, Exit
1.23, 2, red, Entry
1.26, 2, red, Exit
1.26, 4, red, Entry
1.30, 4, red, Exit
1.30, 1, red, Entry
1.33, 1, red, Exit
1.33, 4, red, Entry
1.36, 4, red, Exit
1.36, 2, red, Entry
1.43, 2, red, Exit
1.43, 3, red, Entry
1.46, 3, red, Exit
1.46, 1, red, Entry
1.50, 1, red, Exit
1.50, 3, red, Entry
1.53, 3, red, Exit
1.53, 4, red, Entry
1.73, 4, red, Exit
1.73, 3, red, Entry
1.83, 3, red, Exit
1.83, 2, red, Entry
1.86, 2, red, Exit
1.86, 3, red, Entry
1.96, 3, red, Exit
1.96, 4, red, Entry
2.00, 4, red, Exit
2.00, 1, red, Entry
2.03, 1, red, Exit
2.03, 3, red, Entry
2.06, 3, red, Exit
2.06, 4, red, Entry
2.10, 4, red, Exit
2.10, 2, red, Entry
2.13, 4, yellow, Exit
2.13, 2, yellow, Entry
2.13, 4, blue, Exit
2.13, 2, blue, Entry
2.16, 2, blue, Exit
2.16, 4, blue, Entry
2.16, 2, red, Exit
2.16, 4, red, Entry
2.20, 4, red, Exit
2.20, 2, red, Entry
2.23, 2, red, Exit
2.23, 1, red, Entry
2.30, 1, red, Exit
2.30, 3, red, Entry
2.33, 3, red, Exit
2.33, 2, red, Entry
2.40, 2, red, Exit
2.40, 3, red, Entry
2.50, 3, red, Exit
2.50, 2, red, Entry
2.60, 2, red, Exit
2.60, 3, red, Entry
2.63, 3, red, Exit
2.63, 2, red, Entry
2.66, 2, red, Exit
2.66, 3, red, Entry
2.70, 3, red, Exit
2.70, 2, red, Entry
2.76, 2, red, Exit
2.76, 3, red, Entry
2.80, 3, red, Exit
2.80, 2, red, Entry
